G1 Model,G2 Equivalent,Family,Stage,Standard Source,kW,HP,Connection,Stages,B1 mm,B2 mm,Height mm,D1 mm,D2 mm,Weight kg
CHC 20-5,CHC 20-50,20,5,False,5.5,7.5,DN50,5,582,390,972,275,210,88
CHC 20-6,CHC 20-60,20,6,False,7.5,10,DN50,6,627,390,1017,275,210,92
CHC 20-7,CHC 20-70,20,7,False,7.5,10,DN50,7,672,390,1062,275,210,95
CHC 20-8,CHC 20-80,20,8,False,11,15,DN50,8,737,505,1242,330,255,135
CHC 20-9,CHC 20-90,20,9,False,11,15,DN50,9,827,505,1332,330,255,141
CHC 20-10,CHC 20-100,20,10,False,11,15,DN50,10,827,505,1332,330,255,141
CHC 20-11,CHC 20-110,20,11,False,15,20,DN50,11,917,505,1422,330,255,148
CHC 20-12,CHC 20-120,20,12,False,15,20,DN50,12,917,505,1422,330,255,148
CHC 20-13,CHC 20-130,20,13,False,15,20,DN50,13,1007,505,1512,330,255,153
CHC 20-14,CHC 20-140,20,14,False,15,20,DN50,14,1007,505,1512,330,255,153
CHC 20-15,CHC 20-150,20,15,False,18.5,25,DN50,15,1097,560,1657,330,255,173
CHC 20-16,CHC 20-160,20,16,False,18.5,25,DN50,16,1097,560,1657,330,255,173
CHC 20-17,CHC 20-170,20,17,False,18.5,25,DN50,17,1142,560,1702,330,255,176
CHC 32-1-1,CHC 32-10-1,32,1,True,1.5,2,DN65,1,455,293,748,154,111,62
CHC 32-1,CHC 32-10,32,1,True,2.2,3,DN65,1,455,293,748,177,116,63
CHC 32-2-2,CHC 32-20-2,32,2,True,3,4,DN65,2,525,293,818,177,116,77
CHC 32-2,CHC 32-20,32,2,True,4,5.5,DN65,2,525,305,830,197,148,88
CHC 32-3-2,CHC 32-30-2,32,3,True,4,5.5,DN65,3,595,305,900,197,148,107
CHC 32-3,CHC 32-30,32,3,True,5.5,7.5,DN65,3,620,390,1010,275,210,107
CHC 32-4-2,CHC 32-40-2,32,4,True,7.5,10,DN65,4,690,390,1080,275,210,119
